strat_phrase_root,strat_flag
Carbosyl,Group
Metals,Group
Quartz,mention
Quartz,Dolomite
Sericite Quartz,Dolomite
Ediacara,Member
Ediacara,mention
Gamohaan,Formation
Kuruman Iron,Formation
Grezzoni,Formation
Grezzoni,mention
Brown Bank,Member
Consequent,Formation
Microsensor,Group
Green River,Formation
Torridon,Group
Polvoeira,Member
Madbi,Formation
Penglaiba,Formation
Meso-Neoproterozoic Atar,Group
Atar,Group
DISCUSSION,Dolomite
Gialo,mention
Dariyan,Formation
Main,mention
Khartam,Member
Atane,Formation
Ivana,Formation
Karabogaz,Formation
Dalan,Member
Kangan,Formation
Microbial,mention
Arab,mention
Kurra Chine,Formation
Qamchuqa,Formation
Kareem,Formation
Clay,mention
Virginia,Formation
Phe,Formation
Wynniatt,Formation
Rauer,Group
Marcellus,Subgroup
Longmaxi,Shale
Cuddapah,Supergroup
Barnett,Formation
Leadville,mention
Kimmeridge,Shale
Chinshui,Formation
Mancos,mention
Palfris,Formation
Eagle Ford,Formation
Oil,mention
Pyritic,Shale
Calcite,mention
Calcite,Dolomite
Pyrite Calcite,Dolomite
Pyrite Calcite,mention
Marker,Bed
Qingyan,mention
Nanlinghu,Formation
Yuqing,Member
Yinkeng,Formation
Leidapo,Member
Lena,Formation
SH,mention
Alcorlo,Formation
Suwannee,Limestone
MSA,Group
Posidonia,Shale
Corella,Formation
Witwatersrand,mention
Huakaizuo,Formation
Nama,Group
Fortescue,Group
Ghaap,Group
Rose Hill,mention
Susquehanna,Shale
Ara,Group
Tumbiana,Formation
Tumbiana,mention
Green River,mention
Wernecke,Supergroup
Siltstone,mention
Oolite Stromatolite,Chert
Quartet,Group
Albite Bassanite Calcite,mention
Albite Bassanite Calcite,Dolomite
Berendi,Formation
Silicates Carbonates,Shale
Erin,Formation
Altay,mention
Niutitang,Formation
Keluke,Group
Qaidam,Shale
Noonday,Dolomite
Quartz Magnesite,Dolomite
Materials Characterisation,Group
Calcite/aragonite,Dolomite
Quartz Pyrite Gersdorﬃte,Dolomite
BIOMIN,Group
Badu,Group
Badu,mention
Karabutak,Formation
Jining,Group
Jiaodong,mention
Jiaodong,Group
Guandaokou,Gp
Meiyaogou,Fm
Meiyaogou,Formation
Sonora,Group
Mingshui,Formation
Turee Creek,Group
Engteri,mention
Pyrite,mention
Zbrza,Member
Vindhyan,Supergroup
Seralakh,Formation
San Antonio,Formation
Gafo,Formation
Kope,mention
Kope,Formation
Original Trilobite,Bed
Trilobite,Bed
Biofilm,Formation
Antarctic,mention
Gondwana,Supergroup
K.A.,Formation
Yudoma,Fm
Roper,Group
Velkerri,Formation
FB,mention
Pyrite,Formation
Novella,Sandstone
Pierre,Shale
Mancos,Shale
Lias,Group
Cubagua,Formation
Longmaxi,Formation
Longmaxi,mention
Tremembe,Formation
Guia,Formation
La Vid,Group
Biotechnology,Group
Elements Unitsa Concentration,Shale
PP MM,Shale
R.J. Lee,Group
Roberts Mountain,Formation
La Flecha,Formation
Holen,Limestone
Fluorspar,Limestone
Mn Biotite,Dolomite
ZWT,Dolomite
Mineral,Group
Circulating Fluid,Bed
Blanowice,mention
Alta,mention
Ocker,Limestone
Backwashing Filter,Bed
